Achieved_Revenue,Optimal_Revenue,Difference,Run_Number
71352.0,76320.0,6.5,536
66420.0,66420.0,0.0,537
83082.0,114156.0,27.2,538
73560.0,82488.0,10.8,539
78420.0,104502.0,25.0,540
80700.0,103380.0,21.9,541
78336.0,103074.0,24.0,542
73512.0,85404.0,13.9,543
46596.0,47532.0,2.0,544
76512.0,107748.0,29.0,545
79926.0,98076.0,18.5,546
74136.0,96828.0,23.4,547
83754.0,106278.0,21.2,548
73464.0,80292.0,8.5,549
75636.0,92196.0,18.0,550
68040.0,70860.0,4.0,551
77652.0,92940.0,16.4,552
78192.0,97032.0,19.4,553
75408.0,120000.0,37.2,554
74496.0,109980.0,32.3,555
79776.0,96984.0,17.7,556
79410.0,102402.0,22.5,557
80148.0,91176.0,12.1,558
77232.0,85140.0,9.3,559
75408.0,120000.0,37.2,560
74352.0,108006.0,31.2,561
77316.0,112680.0,31.4,562
73872.0,96552.0,23.5,563
75126.0,77556.0,3.1,564
74892.0,99618.0,24.8,565
75900.0,78108.0,2.8,566
76896.0,102582.0,25.0,567
58008.0,62436.0,7.1,568
91044.0,115290.0,21.0,569
45228.0,45228.0,0.0,570
86244.0,120000.0,28.1,571
73752.0,94944.0,22.3,572
76206.0,102168.0,25.4,573
78168.0,91536.0,14.6,574
73608.0,90732.0,18.9,575
74664.0,109314.0,31.7,576
74472.0,106422.0,30.0,577
73416.0,80052.0,8.3,578
73512.0,88260.0,16.7,579
74664.0,107496.0,30.5,580
78312.0,102072.0,23.3,581
76224.0,107652.0,29.2,582
74592.0,105156.0,29.1,583
74610.0,80052.0,6.8,584
80928.0,100374.0,19.4,585
80712.0,100206.0,19.5,586
85644.0,116454.0,26.5,587
78192.0,103350.0,24.3,588
80982.0,105696.0,23.4,589
75720.0,101148.0,25.1,590
73728.0,88716.0,16.9,591
77580.0,103224.0,24.8,592
77052.0,109902.0,29.9,593
79260.0,100212.0,20.9,594
74472.0,109644.0,32.1,595
74520.0,110988.0,32.9,596
93108.0,108738.0,14.4,597
78078.0,102438.0,23.8,598
76860.0,98334.0,21.8,599
90150.0,120000.0,24.9,600
75144.0,120000.0,37.4,601
74760.0,93216.0,19.8,602
74712.0,90768.0,17.7,603
76272.0,96372.0,20.9,604
74256.0,98256.0,24.4,605
76986.0,103974.0,26.0,606
76224.0,100008.0,23.8,607
85038.0,106074.0,19.8,608
86676.0,96936.0,10.6,609
68484.0,71076.0,3.6,610
46692.0,47400.0,1.5,611
87216.0,120000.0,27.3,612
74568.0,107994.0,31.0,613
74136.0,100704.0,26.4,614
74184.0,103788.0,28.5,615
77256.0,112806.0,31.5,616
77400.0,92016.0,15.9,617
61980.0,65028.0,4.7,618
84036.0,87360.0,3.8,619
79344.0,111840.0,29.1,620
78456.0,93156.0,15.8,621
77904.0,115974.0,32.8,622
79806.0,109266.0,27.0,623
73680.0,94218.0,21.8,624
76260.0,101934.0,25.2,625
73200.0,77604.0,5.7,626
83160.0,112182.0,25.9,627
76314.0,102222.0,25.3,628
82608.0,99300.0,16.8,629
74688.0,82020.0,8.9,630
73296.0,81564.0,10.1,631
92016.0,120000.0,23.3,632
80952.0,101646.0,20.4,633
76320.0,100530.0,24.1,634
80004.0,118938.0,32.7,635
83460.0,113418.0,26.4,636
77520.0,116370.0,33.4,637
75240.0,120000.0,37.3,638
78000.0,114918.0,32.1,639
81924.0,112644.0,27.3,640
79152.0,96960.0,18.4,641
81948.0,117324.0,30.2,642
77532.0,98964.0,21.7,643
78432.0,101010.0,22.4,644
77412.0,93276.0,17.0,645
75000.0,89124.0,15.8,646
76344.0,99072.0,22.9,647
50640.0,51192.0,1.1,648
76272.0,93696.0,18.6,649
75072.0,85488.0,12.2,650
73656.0,93972.0,21.6,651
79200.0,103194.0,23.3,652
77568.0,106074.0,26.9,653
75498.0,107604.0,29.8,654
77532.0,116286.0,33.3,655
73680.0,88992.0,17.2,656
73344.0,80760.0,9.2,657
77778.0,102822.0,24.4,658
69432.0,69432.0,0.0,659
75024.0,100734.0,25.5,660
75420.0,90210.0,16.4,661
77406.0,112692.0,31.3,662
